Time, GyroX, GyroY, GyroZ, AccX, AccY, AccZ, Pressure, TempMS, Height, KalHeight
17393,-16.47,3.51,-6.79,-0.31,0.95,-0.19,1017.75,4.69,-5.99,-5.99
17463,3.35,2.06,5.64,-0.26,0.97,-0.08,1017.75,4.69,-5.99,-5.99
17530,19.29,-19.55,15.67,-0.21,0.96,-0.04,1017.86,4.69,-6.87,-6.87
17601,-3.22,4.35,-0.99,-0.22,0.94,-0.09,1017.75,4.69,-5.99,-5.99
17669,16.40,16.40,4.02,-0.24,0.94,-0.11,1017.75,4.69,-5.99,-5.99
17738,10.02,16.34,1.44,-0.24,0.98,-0.10,1017.75,4.69,-5.99,-5.99
17807,-4.15,2.06,-5.08,-0.21,1.02,-0.14,1017.75,4.69,-5.99,-5.99
17876,-17.69,11.39,-37.74,-0.20,1.05,-0.01,1017.70,4.68,-5.59,-5.59
17947,-31.25,8.12,9.93,-0.22,0.94,0.11,1017.70,4.68,-5.59,-5.59
18015,-62.77,65.06,-7.00,-0.09,0.82,0.15,1017.92,4.68,-7.35,-7.35
18085,8.05,70.38,12.06,-0.26,0.90,-0.10,1017.70,4.68,-5.59,-5.58
18154,69.94,-14.67,31.41,-0.20,1.07,-0.01,1017.81,4.68,-6.47,-6.47
18224,-16.19,-7.02,-8.47,-0.32,0.95,-0.23,1017.81,4.68,-6.47,-6.47
18295,-22.61,-15.14,-4.13,-0.70,0.86,-0.54,1017.76,4.65,-6.07,-6.07
18367,-5.02,10.58,38.34,-0.17,0.83,0.01,1017.76,4.65,-6.07,-6.07
18436,-50.09,10.63,-10.94,-0.24,0.90,-0.05,1017.65,4.65,-5.19,-5.19
18508,26.60,0.83,13.87,-0.30,0.93,0.03,1017.65,4.65,-5.19,-5.19
18576,-5.40,-2.18,2.72,-0.22,0.99,-0.03,1017.65,4.65,-5.19,-5.19
18644,-13.03,-1.36,0.06,-0.25,0.96,-0.09,1017.65,4.65,-5.19,-5.19
18714,-2.07,-3.65,1.97,-0.22,0.95,-0.01,1017.76,4.65,-6.07,-6.07
18783,-0.48,-0.38,4.17,-0.24,0.94,-0.06,1017.76,4.65,-6.07,-6.07
18852,-1.14,-1.31,-0.91,-0.23,0.93,-0.03,1017.76,4.65,-6.07,-6.07
18921,54.45,-1.22,14.23,-0.24,0.95,-0.12,1017.65,4.65,-5.19,-5.19
18991,21.55,-9.26,8.08,-0.26,0.95,-0.05,1017.65,4.65,-5.19,-5.19
19060,24.83,-5.94,5.47,-0.22,0.91,-0.10,1017.81,4.68,-6.47,-6.47
19129,-28.71,-4.38,-10.30,-0.17,0.98,-0.08,1017.76,4.65,-6.07,-6.07
19201,-63.20,1.09,-22.21,-0.25,0.96,-0.07,1017.65,4.65,-5.19,-5.19
19276,33.67,-4.64,11.77,-0.20,0.99,-0.02,1017.87,4.65,-6.95,-6.95
19341,9.24,1.04,26.29,-0.29,1.02,-0.05,1017.76,4.65,-6.07,-6.07
19409,9.30,-6.01,7.32,-0.21,0.95,-0.01,1017.65,4.65,-5.19,-5.19
19477,7.17,-1.07,4.31,-0.23,0.96,-0.06,1017.65,4.65,-5.19,-5.19
